Year,Clothing and Footwear,"Housing, Water, Electricity, Gas and Other Fuels",Furnishings and Household Maintenance,Health,Transport,Information and Communication,Recreation and Culture,Education Services,Food and Non-Alcoholic Beverages
1394,10276919.24349034,26264960.472223442,8560915.704998318,16810377.74903443,21618565.634594362,6062729.326299346,3754451.063566291,3797742.700612617,57945519.92006768
1395,10628552.698648406,27417228.129279487,8939015.591586925,17849251.898274425,23862569.83703261,6415576.63405647,3739965.1456282213,4043073.0966107287,61167586.27445117
1396,12305312.484555883,31282603.023853548,11020012.55898365,21252328.726341635,29601592.75644932,7331953.655099378,4727943.880129987,4672997.720626738,69665179.47418864
1397,13122650.054803817,36361048.47381764,12931956.603301518,27078342.568227712,34991790.61652644,8136286.279464254,5620092.848526798,5016007.4167751735,84818848.976424
1398,14105292.474206423,43258494.61189447,15265090.884627406,30103896.047776256,36438206.29368891,9475605.365340026,5235047.434340956,5156832.927528306,107051193.19773644
1399,19599726.99335403,53267796.403593816,21522381.077888552,35619654.571678355,45417389.078406565,13683678.878439065,4170504.954821999,5303764.327350357,148572466.31332895
1400,34644755.3228274,77087269.62264368,32334491.694403015,55798287.726855904,66047593.87758435,18359736.41731689,6538307.712485091,6888279.290882082,225736903.5166396
1401,47834879.522985026,119565928.88137868,41890221.74593518,73437701.1030598,95241332.91175728,20180206.833206154,10926685.82584077,10083285.554510938,348202043.16015774
1402,63857601.07298051,190404794.45268154,55408724.3166842,106392752.39735402,145881593.76136407,22996737.798645932,18768530.83869207,13829673.826453248,468428509.71607614
1403,84903845.41519304,252209251.0433566,64690913.04208228,134466907.39288318,176051731.11954874,28276570.01895165,28530395.64147879,21372845.708028004,578272044.2424176
